text,options,correct_option,category,skill_tag,difficulty
"Which activity do you enjoy more?","[""A. Solving logical problems"",""B. Writing, and reading"",""C. Interacting, and helping people""]",,psychometric,Interest,easy
"How do you prefer to work?","[""A. Independently with minimal supervision"",""B. In teams with discussion and collaboration""]",,psychometric,Work Style,easy
"Find the next number: 2, 6, 12, 20, ?","[""A. 24"",""B. 26"",""C. 28"",""D. 30""]","D. 30",aptitude,Number Series,medium
"If the time complexity of an algorithm is O(n square), what happens when the input size doubles?","[""A. Execution time doubles"",""B. Execution time increases by 3 times"",""C. Execution time increases by 4 times"",""D. Execution time remains the same""]","C. Execution time increases by 4 times",technical,Time Complexity,medium
"Which data structure is best suited for implementing a stack?","[""A. Queue"",""B. Linked List"",""C. Tree"",""D. Graph""]","B. Linked List",technical,Data Structures,easy
"The primary goal of database normalization is to:","[""A. Increase data redundancy"",""B. Reduce data redundancy"",""C. Improve query speed only"",""D. Encrypt data""]","B. Reduce data redundancy",technical,Database,medium
"If a program compiles successfully but gives incorrect output, the best first step is to","[""A. Rewrite the entire code"",""B. Check logic and edge cases"",""C. Increase system memory"",""D. Change the programming language""]","B. Check logic and edge cases",technical,Debugging,easy
"How do you feel about unclear instructions?","[""A. I enjoy figuring things out"",""B. I prefer structure and clarity""]",,psychometric,Problem Approach,easy
"Which tools are you most comfortable with?","[""A. Excel / Numbers / Accounting tools"",""B. Writing / Presentation tools"",""C. Programming / Data tools""]",,psychometric,Tools Preference,easy
"When learning something new, you prefer:","[""A. Tutorials and practice"",""B. Reading and theory"",""C. Discussion and examples""]",,psychometric,Learning Style,easy
"Correct this sentence: She did not knew about the meeting schedule.","[""A. She dp not know about the meeting schedule"",""B. She did not know about meeting schedule"",""C. She do not knew the meeting schedule"",""D. She did not knew about meeting schedule""]","B. She did not know about meeting schedule",aptitude,Grammar,easy
